year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2025,1,Post Mahomes,The Big Gronkowski,125.82,72.68,Post Mahomes,The Big Gronkowski,53.139999999999986,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,11,malle_dips_pouches,Uncle Rico,125.94,88.84,malle_dips_pouches,Uncle Rico,37.099999999999994,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2021,9,Joe Mantegna,Post Mahomes,126.14,94.0,Joe Mantegna,Post Mahomes,32.14,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2021,10,Post Mahomes,ThreatLevelMidnight,126.34,66.84,Post Mahomes,ThreatLevelMidnight,59.5,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,11,Ginger FC,Joe Mantegna,126.34,120.5,Ginger FC,Joe Mantegna,5.840000000000003,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,12,Joe Mantegna,Voldemort,126.54,126.08,Joe Mantegna,Voldemort,0.46000000000000796,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,8,Ginger FC,Buttermilk Puuump,126.74,113.3,Ginger FC,Buttermilk Puuump,13.439999999999998,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,1,Joe Mantegna,Voldemort,127.86,75.96,Joe Mantegna,Voldemort,51.900000000000006,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,9,Ginger FC,Post Mahomes,128.2,104.7,Ginger FC,Post Mahomes,23.499999999999986,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,1,The Big Gronkowski,Malle ❤️ 🐸,128.42,108.76,The Big Gronkowski,Malle ❤️ 🐸,19.659999999999982,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
