year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2021,2,Ginger FC,Post Mahomes,Should Have Started,Devin Singletary,RB,BN,16.1
2021,2,Joe Mantegna,Uncle Rico,Should Have Benched,Commanders - DEF,DEF,DEF,3.0
2021,2,Joe Mantegna,Uncle Rico,Should Have Benched,Justin Herbert,QB,QB,18.72
2021,2,Joe Mantegna,Uncle Rico,Should Have Benched,Miles Sanders,RB,W/R/T,6.4
2021,2,Joe Mantegna,Uncle Rico,Should Have Started,Broncos - DEF,DEF,BN,9.0
2021,2,Joe Mantegna,Uncle Rico,Should Have Started,Kirk Cousins,QB,BN,31.26
2021,2,Joe Mantegna,Uncle Rico,Should Have Started,Zach Pascal,WR,BN,12.3
2021,2,Malle ❤️ 🐸,Patty Primetimes,Should Have Benched,Mark Ingram II,RB,RB,4.5
2021,2,Malle ❤️ 🐸,Patty Primetimes,Should Have Benched,Tyreek Hill,WR,WR,4.4
2021,2,Malle ❤️ 🐸,Patty Primetimes,Should Have Started,Adam Thielen,WR,BN,12.9
2021,2,Malle ❤️ 🐸,Patty Primetimes,Should Have Started,Phillip Lindsay,RB,BN,8.9
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,Josh Allen,QB,QB,21.66
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,Alvin Kamara,RB,RB,5.0
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,Clyde Edwards-Helaire,RB,RB,2.6
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,Dallas Goedert,TE,TE,3.4
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,DeVonta Smith,WR,WR,2.6
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Darnell Mooney,WR,BN,9.6
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Julio Jones,WR,BN,15.8
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Kenyan Drake,RB,BN,8.0
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Matt Ryan,QB,BN,23.3
2021,2,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Mike Gesicki,TE,BN,5.6
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,Jamaal Williams,RB,RB,5.2
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,Robbie Chosen,WR,WR,5.3
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Benched,Stefon Diggs,WR,WR,14.0
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Started,David Johnson,RB,BN,5.7
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Started,Henry Ruggs III,WR,BN,20.0
2021,2,Pop Lockett Drop it,Big Sack Jack,Should Have Started,Hollywood Brown,WR,BN,20.3
2021,2,Post Mahomes,Ginger FC,Should Have Benched,Jonathan Taylor,RB,RB,5.8
2021,2,Post Mahomes,Ginger FC,Should Have Benched,Saquon Barkley,RB,RB,7.9
2021,2,Post Mahomes,Ginger FC,Should Have Benched,Kenny Golladay,WR,WR,5.3
2021,2,Post Mahomes,Ginger FC,Should Have Started,Latavius Murray,RB,BN,9.6
2021,2,Post Mahomes,Ginger FC,Should Have Started,Tony Pollard,RB,BN,21.5
2021,2,Post Mahomes,Ginger FC,Should Have Started,J.D. McKissic,RB,BN,17.8
2021,2,The Big Gronkowski,Voldemort,Should Have Benched,Chase Claypool,WR,W/R/T,8.2
2021,2,The Big Gronkowski,Voldemort,Should Have Started,Michael Pittman Jr.,WR,BN,16.3
2021,2,ThreatLevelMidnight,malle_dips_pouches,Should Have Benched,Elijah Mitchell,RB,W/R/T,6.3
2021,2,ThreatLevelMidnight,malle_dips_pouches,Should Have Started,Mike Davis,RB,BN,9.8
2021,2,Uncle Rico,Joe Mantegna,Should Have Benched,Allen Robinson,WR,W/R/T,9.4
2021,2,Uncle Rico,Joe Mantegna,Should Have Benched,Antonio Brown,WR,WR,2.2
2021,2,Uncle Rico,Joe Mantegna,Should Have Started,James White,RB,BN,15.5
2021,2,Uncle Rico,Joe Mantegna,Should Have Started,Tim Patrick,WR,BN,11.2
2021,2,Voldemort,The Big Gronkowski,Should Have Benched,David Montgomery,RB,RB,9.4
2021,2,Voldemort,The Big Gronkowski,Should Have Benched,Tyler Higbee,TE,TE,1.3
2021,2,Voldemort,The Big Gronkowski,Should Have Started,Chase Edmonds,RB,BN,10.0
2021,2,Voldemort,The Big Gronkowski,Should Have Started,Hunter Henry,TE,BN,5.2
2021,2,malle_dips_pouches,ThreatLevelMidnight,Should Have Benched,Kareem Hunt,RB,W/R/T,5.8
2021,2,malle_dips_pouches,ThreatLevelMidnight,Should Have Benched,A.J. Brown,WR,WR,5.8
2021,2,malle_dips_pouches,ThreatLevelMidnight,Should Have Started,Marvin Jones Jr.,WR,BN,14.5
2021,2,malle_dips_pouches,ThreatLevelMidnight,Should Have Started,Mike Williams,WR,BN,18.6
2021,3,Big Sack Jack,Post Mahomes,Should Have Benched,Kenny Gainwell,RB,RB,4.9
2021,3,Big Sack Jack,Post Mahomes,Should Have Benched,JuJu Smith-Schuster,WR,WR,4.0
2021,3,Big Sack Jack,Post Mahomes,Should Have Started,Marquez Callaway,WR,BN,12.1
2021,3,Big Sack Jack,Post Mahomes,Should Have Started,Mecole Hardman Jr.,WR,BN,11.0
2021,3,Ginger FC,Patty Primetimes,Should Have Benched,Amari Cooper,WR,W/R/T,4.1
2021,3,Ginger FC,Patty Primetimes,Should Have Benched,DeAndre Hopkins,WR,WR,3.6
